CE Buy-Only Diagnostic - 150 coins, pichle 720 bars (~30 din)

======================================================================

Total RAW cross events (pichle 720 bars, sab 150 coins mila ke): 954
Total POST-COOLDOWN signals: 731
Kitne coins par kam-az-kam 1 raw event hua: 139/150
Kitne coins par ABHI (is waqt) ek OPEN trade hai (jo dashboard dikhata): 1/150

Sab se RECENT signal (kisi bhi coin par): YOM/USDT, 0 bars (0.0 din) pehle -> OPEN

======================================================================
Har coin ki detail:

CC/USDT: raw=14, post-cooldown=9, aakhri signal 34 bars (1.4 din) pehle -> CLOSED (STOPPED, exit 33 bars pehle)
CAKE/USDT: raw=2, post-cooldown=2, aakhri signal 475 bars (19.8 din) pehle -> CLOSED (STOPPED, exit 474 bars pehle)
CARDS/USDT: raw=18, post-cooldown=13, aakhri signal 41 bars (1.7 din) pehle -> CLOSED (STOPPED, exit 40 bars pehle)
ZIG/USDT: raw=12, post-cooldown=9, aakhri signal 35 bars (1.5 din) pehle -> CLOSED (STOPPED, exit 34 bars pehle)
AERO/USDT: raw=8, post-cooldown=7, aakhri signal 147 bars (6.1 din) pehle -> CLOSED (STOPPED, exit 146 bars pehle)
LIT/USDT: raw=6, post-cooldown=5, aakhri signal 35 bars (1.5 din) pehle -> CLOSED (STOPPED, exit 34 bars pehle)
MEGA/USDT: raw=7, post-cooldown=6, aakhri signal 23 bars (1.0 din) pehle -> CLOSED (STOPPED, exit 22 bars pehle)
COTI/USDT: raw=4, post-cooldown=4, aakhri signal 69 bars (2.9 din) pehle -> CLOSED (STOPPED, exit 68 bars pehle)
DOS/USDT: raw=6, post-cooldown=6, aakhri signal 90 bars (3.8 din) pehle -> CLOSED (STOPPED, exit 89 bars pehle)
CFG/USDT: raw=8, post-cooldown=8, aakhri signal 153 bars (6.4 din) pehle -> CLOSED (STOPPED, exit 152 bars pehle)
STX/USDT: raw=4, post-cooldown=3, aakhri signal 132 bars (5.5 din) pehle -> CLOSED (STOPPED, exit 131 bars pehle)
KONET/USDT: raw=11, post-cooldown=10, aakhri signal 253 bars (10.5 din) pehle -> CLOSED (STOPPED, exit 252 bars pehle)
CRCLX/USDT: raw=3, post-cooldown=3, aakhri signal 35 bars (1.5 din) pehle -> CLOSED (STOPPED, exit 34 bars pehle)
NIL/USDT: raw=15, post-cooldown=9, aakhri signal 192 bars (8.0 din) pehle -> CLOSED (STOPPED, exit 191 bars pehle)
AKT/USDT: raw=6, post-cooldown=5, aakhri signal 261 bars (10.9 din) pehle -> CLOSED (STOPPED, exit 260 bars pehle)
RAIN/USDT: raw=25, post-cooldown=20, aakhri signal 23 bars (1.0 din) pehle -> CLOSED (STOPPED, exit 22 bars pehle)
TIA/USDT: raw=2, post-cooldown=2, aakhri signal 150 bars (6.2 din) pehle -> CLOSED (STOPPED, exit 149 bars pehle)
UB/USDT: raw=9, post-cooldown=7, aakhri signal 19 bars (0.8 din) pehle -> CLOSED (STOPPED, exit 18 bars pehle)
OP/USDT: raw=3, post-cooldown=2, aakhri signal 416 bars (17.3 din) pehle -> CLOSED (STOPPED, exit 415 bars pehle)
ZETA/USDT: raw=20, post-cooldown=12, aakhri signal 27 bars (1.1 din) pehle -> CLOSED (STOPPED, exit 26 bars pehle)
TSLAX/USDT: raw=3, post-cooldown=2, aakhri signal 195 bars (8.1 din) pehle -> CLOSED (STOPPED, exit 194 bars pehle)
AEON/USDT: raw=5, post-cooldown=4, aakhri signal 204 bars (8.5 din) pehle -> CLOSED (STOPPED, exit 203 bars pehle)
GENIUS/USDT: raw=19, post-cooldown=11, aakhri signal 182 bars (7.6 din) pehle -> CLOSED (STOPPED, exit 181 bars pehle)
RAY/USDT: raw=6, post-cooldown=5, aakhri signal 139 bars (5.8 din) pehle -> CLOSED (STOPPED, exit 138 bars pehle)
LUNA/USDT: raw=2, post-cooldown=2, aakhri signal 327 bars (13.6 din) pehle -> CLOSED (STOPPED, exit 326 bars pehle)
DIAM/USDT: raw=7, post-cooldown=4, aakhri signal 10 bars (0.4 din) pehle -> CLOSED (STOPPED, exit 9 bars pehle)
PEAQ/USDT: raw=5, post-cooldown=5, aakhri signal 29 bars (1.2 din) pehle -> CLOSED (STOPPED, exit 28 bars pehle)
PHA/USDT: raw=11, post-cooldown=9, aakhri signal 119 bars (5.0 din) pehle -> CLOSED (STOPPED, exit 117 bars pehle)
PTB/USDT: raw=5, post-cooldown=5, aakhri signal 408 bars (17.0 din) pehle -> CLOSED (STOPPED, exit 407 bars pehle)
CELR/USDT: raw=18, post-cooldown=13, aakhri signal 12 bars (0.5 din) pehle -> CLOSED (STOPPED, exit 11 bars pehle)
CP/USDT: raw=5, post-cooldown=4, aakhri signal 35 bars (1.5 din) pehle -> CLOSED (STOPPED, exit 34 bars pehle)
MET/USDT: raw=14, post-cooldown=10, aakhri signal 154 bars (6.4 din) pehle -> CLOSED (STOPPED, exit 153 bars pehle)
LUNC/USDT: raw=4, post-cooldown=3, aakhri signal 279 bars (11.6 din) pehle -> CLOSED (STOPPED, exit 278 bars pehle)
ULTIMA/USDT: raw=7, post-cooldown=6, aakhri signal 211 bars (8.8 din) pehle -> CLOSED (STOPPED, exit 210 bars pehle)
VET/USDT: raw=6, post-cooldown=5, aakhri signal 58 bars (2.4 din) pehle -> CLOSED (STOPPED, exit 56 bars pehle)
DATA/USDT: raw=11, post-cooldown=7, aakhri signal 35 bars (1.5 din) pehle -> CLOSED (STOPPED, exit 34 bars pehle)
PENDLE/USDT: raw=6, post-cooldown=5, aakhri signal 195 bars (8.1 din) pehle -> CLOSED (STOPPED, exit 194 bars pehle)
SIREN/USDT: raw=0, post-cooldown=0, aakhri signal 1859 bars (77.5 din) pehle -> CLOSED (STOPPED, exit 1858 bars pehle)
AIOZ/USDT: raw=5, post-cooldown=4, aakhri signal 195 bars (8.1 din) pehle -> CLOSED (STOPPED, exit 194 bars pehle)
ZBCN/USDT: raw=4, post-cooldown=3, aakhri signal 228 bars (9.5 din) pehle -> CLOSED (STOPPED, exit 227 bars pehle)
NPC/USDT: raw=9, post-cooldown=8, aakhri signal 31 bars (1.3 din) pehle -> CLOSED (STOPPED, exit 30 bars pehle)
SUPER/USDT: raw=16, post-cooldown=9, aakhri signal 23 bars (1.0 din) pehle -> CLOSED (STOPPED, exit 22 bars pehle)
LDO/USDT: raw=4, post-cooldown=3, aakhri signal 148 bars (6.2 din) pehle -> CLOSED (STOPPED, exit 147 bars pehle)
MUBARAK/USDT: raw=5, post-cooldown=5, aakhri signal 205 bars (8.5 din) pehle -> CLOSED (STOPPED, exit 204 bars pehle)
KMNO/USDT: raw=31, post-cooldown=20, aakhri signal 28 bars (1.2 din) pehle -> CLOSED (STOPPED, exit 27 bars pehle)
ALIGN/USDT: raw=5, post-cooldown=5, aakhri signal 92 bars (3.8 din) pehle -> CLOSED (STOPPED, exit 91 bars pehle)
BLESS/USDT: raw=0, post-cooldown=0, koi bhi signal nahi mila
VELO/USDT: raw=8, post-cooldown=6, aakhri signal 141 bars (5.9 din) pehle -> CLOSED (STOPPED, exit 140 bars pehle)
NAKA/USDT: raw=25, post-cooldown=16, aakhri signal 37 bars (1.5 din) pehle -> CLOSED (STOPPED, exit 36 bars pehle)
QNT/USDT: raw=7, post-cooldown=6, aakhri signal 143 bars (6.0 din) pehle -> CLOSED (STOPPED, exit 142 bars pehle)
LAT/USDT: raw=1, post-cooldown=1, aakhri signal 299 bars (12.5 din) pehle -> CLOSED (STOPPED, exit 298 bars pehle)
